0,monday,09:20,09:30,10:05,Лекція.,ТПКС.,Коляда К. В.,https://us02web.zoom.us/j/84814654183?pwd=MlRQdGpqak5hR0d6ZHU4T2VOVXhHZz09
1,monday,14:00,14:15,15:50,Лекція. Контрольна робота.,АПКС.,Коляда К. В.,https://us02web.zoom.us/j/84814654183?pwd=MlRQdGpqak5hR0d6ZHU4T2VOVXhHZz09

0,tuesday,16:00,16:10,17:45,Лекція.,КЗТ.,Наливайчук М. В.,Посилання в чаті "2021 Практика бакалаври" або google.classroom.com → курс "Комп'ютерне забезпечення телекомунікацій".

1,wednesday,10:15,10:25,12:00,Лекція.,КМ-2.,Орлова М. М.,https://us04web.zoom.us/j/75909535435?pwd=R2RhVGpidlRLVGw4OUh6Q2VPdmxidz09
0,wednesday,12:10,12:20,13:55,Лекція. Здача лалабораторних робіт.,КСП.,Коляда К. В.,https://us02web.zoom.us/j/84814654183?pwd=MlRQdGpqak5hR0d6ZHU4T2VOVXhHZz09
1,wednesday,14:20,14:30,15:50,Лекція.,КСШІ.,Боярінова Ю. Є.,https://us02web.zoom.us/j/83851235880?pwd=NGVlVjNBT1lDakdDUlR3RE9tbWVTZz09

1,thursday,12:10,12:20,13:55,Лекція.,КМ-2.,Орлова М. М.,https://us04web.zoom.us/j/71305859292?pwd=QktmUWErWkRIVDdZV25uK2ZvWGtKdz09
0,thursday,14:05,14:15,15:50,Лекція.,КтТТ та ТТ.,Наливайчук М. В.,Посилання в чаті "2021 Практика бакалаври" або google.classroom.com → курс "Телекомунікаційні технології".
